"date","series_id","value","realtime_start","realtime_end"
2020-04-01,"CES0500000003",30.01,2024-11-20,2024-11-20
2020-05-01,"CES0500000003",29.72,2024-11-20,2024-11-20
2020-06-01,"CES0500000003",29.38,2024-11-20,2024-11-20
2020-07-01,"CES0500000003",29.38,2024-11-20,2024-11-20
2020-08-01,"CES0500000003",29.48,2024-11-20,2024-11-20
2020-09-01,"CES0500000003",29.51,2024-11-20,2024-11-20
2020-10-01,"CES0500000003",29.54,2024-11-20,2024-11-20
2020-11-01,"CES0500000003",29.63,2024-11-20,2024-11-20
2020-12-01,"CES0500000003",29.9,2024-11-20,2024-11-20
2021-01-01,"CES0500000003",29.93,2024-11-20,2024-11-20
2021-02-01,"CES0500000003",30.06,2024-11-20,2024-11-20
2021-03-01,"CES0500000003",30.06,2024-11-20,2024-11-20
2021-04-01,"CES0500000003",30.21,2024-11-20,2024-11-20
2021-05-01,"CES0500000003",30.39,2024-11-20,2024-11-20
2021-06-01,"CES0500000003",30.54,2024-11-20,2024-11-20
2021-07-01,"CES0500000003",30.65,2024-11-20,2024-11-20
2021-08-01,"CES0500000003",30.77,2024-11-20,2024-11-20
2021-09-01,"CES0500000003",30.95,2024-11-20,2024-11-20
2021-10-01,"CES0500000003",31.15,2024-11-20,2024-11-20
2021-11-01,"CES0500000003",31.24,2024-11-20,2024-11-20
2021-12-01,"CES0500000003",31.4,2024-11-20,2024-11-20
2022-01-01,"CES0500000003",31.63,2024-11-20,2024-11-20
2022-02-01,"CES0500000003",31.65,2024-11-20,2024-11-20
2022-03-01,"CES0500000003",31.84,2024-11-20,2024-11-20
2022-04-01,"CES0500000003",31.95,2024-11-20,2024-11-20
2022-05-01,"CES0500000003",32.08,2024-11-20,2024-11-20
2022-06-01,"CES0500000003",32.2,2024-11-20,2024-11-20
2022-07-01,"CES0500000003",32.33,2024-11-20,2024-11-20
2022-08-01,"CES0500000003",32.44,2024-11-20,2024-11-20
2022-09-01,"CES0500000003",32.54,2024-11-20,2024-11-20
2022-10-01,"CES0500000003",32.7,2024-11-20,2024-11-20
2022-11-01,"CES0500000003",32.83,2024-11-20,2024-11-20
2022-12-01,"CES0500000003",32.94,2024-11-20,2024-11-20
2023-01-01,"CES0500000003",33.07,2024-11-20,2024-11-20
2023-02-01,"CES0500000003",33.15,2024-11-20,2024-11-20
2023-03-01,"CES0500000003",33.31,2024-11-20,2024-11-20
